Time,Susceptible,Exposed,Infected,Recovered,Total Population
0,124,0,1,0,125
0.522705,123,1,1,0,125
0.946348,122,2,1,0,125
1.30249,122,2,0,1,125
2.39898,122,1,1,1,125
2.82418,121,2,1,1,125
3.18143,120,3,1,1,125
3.48945,120,3,0,2,125
4.22044,120,2,1,2,125
4.57879,119,3,1,2,125
4.88764,119,2,2,2,125
5.10261,118,3,2,2,125
5.29905,118,3,1,3,125
5.60872,118,3,0,4,125
6.33971,118,2,1,4,125
6.7003,117,3,1,4,125
7.0108,117,2,2,4,125
7.22738,116,3,2,4,125
7.42517,115,4,2,4,125
7.60717,115,4,1,5,125
7.88044,115,4,0,6,125
8.42869,115,3,1,6,125
8.74086,115,3,0,7,125
9.47186,115,2,1,7,125
9.83585,115,1,2,7,125
10.0782,114,2,2,7,125
10.2972,114,2,1,8,125
10.6624,113,3,1,8,125
10.9762,112,4,1,8,125
11.2515,112,4,0,9,125
11.7997,112,3,1,9,125
12.1144,112,3,0,10,125
12.8454,112,2,1,10,125
13.2129,112,2,0,11,125
14.3094,112,1,1,11,125
14.7508,111,2,1,11,125
15.1194,111,1,2,11,125
15.3659,110,2,2,11,125
15.5883,110,2,1,12,125
15.9581,110,2,0,13,125
17.0546,110,1,1,13,125
17.4994,110,1,0,14,125
19.6924,110,0,1,14,125
20.2504,110,0,0,15,125
